"","cell_type","variable","fraction"
"128","T cell CD4+ (non-regulatory)","V12",0.00607657029596605
"129","T cell CD8+","V12",0.00265526785756871
"130","T cell regulatory (Tregs)","V12",0.0181426241166285
"131","Myeloid dendritic cell","V12",0
"132","uncharacterized cell","V12",0.816761857477569
"133","B cell","V13",0.00590206246619501
"134","Macrophage M1","V13",0.00265424276542429
"135","Macrophage M2","V13",0.0402772832073035
"136","Monocyte","V13",0.019623424900446
"137","Neutrophil","V13",0.0586310452166138
"138","NK cell","V13",0.0143182058601119
"139","T cell CD4+ (non-regulatory)","V13",0.0106175495356848
"140","T cell CD8+","V13",0.00282324486201986
"141","T cell regulatory (Tregs)","V13",0.0102972888334469
"142","Myeloid dendritic cell","V13",0.0019311246000645
"143","uncharacterized cell","V13",0.83292452775269
"144","B cell","V14",0.00633024801106685
"145","Macrophage M1","V14",0
"146","Macrophage M2","V14",0.0107087118876569
"147","Monocyte","V14",0.165562644682842
"148","Neutrophil","V14",0
"149","NK cell","V14",0.0572975640144784
"150","T cell CD4+ (non-regulatory)","V14",0
"151","T cell CD8+","V14",0.00184841094282772
"152","T cell regulatory (Tregs)","V14",0.0211933170371125
"153","Myeloid dendritic cell","V14",0
"154","uncharacterized cell","V14",0.737059103424015
"155","B cell","V15",0.0149729987021778
"156","Macrophage M1","V15",0
"157","Macrophage M2","V15",0.0414702216478745
"158","Monocyte","V15",0.0939293219455916
"159","Neutrophil","V15",0.109119428802999
"160","NK cell","V15",0.0481427373177667
"161","T cell CD4+ (non-regulatory)","V15",0
"162","T cell CD8+","V15",0.00280998033480412
"163","T cell regulatory (Tregs)","V15",0.0169983374572625
"164","Myeloid dendritic cell","V15",0.0122437424870466
"165","uncharacterized cell","V15",0.660313231304478
"166","B cell","V16",0.0146033116095065
"167","Macrophage M1","V16",0
"168","Macrophage M2","V16",0
"169","Monocyte","V16",0.166750968272268
"170","Neutrophil","V16",0.0213527583746439
"171","NK cell","V16",0.0788986613632189
"172","T cell CD4+ (non-regulatory)","V16",0
"173","T cell CD8+","V16",0
"174","T cell regulatory (Tregs)","V16",0.0242541751660989
"175","Myeloid dendritic cell","V16",0
"176","uncharacterized cell","V16",0.694140125214264
"177","B cell","V17",0.00559840031654055
"178","Macrophage M1","V17",0
"179","Macrophage M2","V17",0.0170433997374001
"180","Monocyte","V17",0.0274649317164514
"181","Neutrophil","V17",0.174957912125631
"182","NK cell","V17",0.0342628142868264
"183","T cell CD4+ (non-regulatory)","V17",0
"184","T cell CD8+","V17",0
"185","T cell regulatory (Tregs)","V17",0.0103524863042522
"186","Myeloid dendritic cell","V17",0.00607454972732371
"187","uncharacterized cell","V17",0.724245505785574
"188","B cell","V18",0.00635534821415241
"189","Macrophage M1","V18",0
"190","Macrophage M2","V18",0.0223685139809469
"191","Monocyte","V18",0.0317780633837514
"192","Neutrophil","V18",0.0672123631700145
"193","NK cell","V18",0.0183077626851642
"194","T cell CD4+ (non-regulatory)","V18",0.000886400431772516
"195","T cell CD8+","V18",0
"196","T cell regulatory (Tregs)","V18",0.00685564427407763
"197","Myeloid dendritic cell","V18",0
"198","uncharacterized cell","V18",0.846235903860121
"199","B cell","V19",0.000710209649053003
"200","Macrophage M1","V19",0
"201","Macrophage M2","V19",0.0131840722444226
"202","Monocyte","V19",0.0804956958317418
"203","Neutrophil","V19",0
"204","NK cell","V19",0.0464354097115067
"205","T cell CD4+ (non-regulatory)","V19",0.0400311259673034
"206","T cell CD8+","V19",0
"207","T cell regulatory (Tregs)","V19",0.0156969143439188
"208","Myeloid dendritic cell","V19",0.032506339499552
"209","uncharacterized cell","V19",0.770940232752502
"210","B cell","V20",7.798436844665e-06
"211","Macrophage M1","V20",0
"212","Macrophage M2","V20",0
"213","Monocyte","V20",0.219356316772703
"214","Neutrophil","V20",0
"215","NK cell","V20",0.100833837293522
"216","T cell CD4+ (non-regulatory)","V20",0.0565589774148443
"217","T cell CD8+","V20",0
"218","T cell regulatory (Tregs)","V20",0.0218636502984787
"219","Myeloid dendritic cell","V20",0
"220","uncharacterized cell","V20",0.601379419783608
"221","B cell","V21",0.00427660073232103
"222","Macrophage M1","V21",0
"223","Macrophage M2","V21",0
"224","Monocyte","V21",0.226407438655599
"225","Neutrophil","V21",0
"226","NK cell","V21",0.107615367225395
"227","T cell CD4+ (non-regulatory)","V21",0.0360369014598268
"228","T cell CD8+","V21",0
"229","T cell regulatory (Tregs)","V21",0.021918149670482
"230","Myeloid dendritic cell","V21",0
"231","uncharacterized cell","V21",0.603745542256376
"232","B cell","V22",0.00469500137321677
"233","Macrophage M1","V22",0
"234","Macrophage M2","V22",0.0145787986122434
"235","Monocyte","V22",0.0241102506550223
"236","Neutrophil","V22",0.137266481704505
"237","NK cell","V22",0.0215002557957397
"238","T cell CD4+ (non-regulatory)","V22",0
"239","T cell CD8+","V22",0
"240","T cell regulatory (Tregs)","V22",0.00965213701130047
"241","Myeloid dendritic cell","V22",0.00447970608000717
